Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,4.8,"""Excellent camera and battery life"""
P186,10186,2024-07-04,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card,4.6,"""Advanced multisport tracking"""
P187,10187,2024-07-05,Electronics,Sonos Beam Soundbar,1,399,399,North America,Credit Card,4.5,"""Good sound quality"," compact design"""
P188,10188,2024-07-06,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal,4.6,"""Precise temperature control for sous vide"""
P189,10189,2024-07-07,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card,4.3,"""Moisture-wicking"," comfortable for workouts"""
P190,10190,2024-07-08,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card,4.4,"""Coming-of-age classic"," unique voice"""
P191,10191,2024-07-09,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal,4.4,"""Natural-looking blush"," easy to blend"""
P192,10192,2024-07-10,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card,4.5,"""Versatile bodyweight training"""
P193,10193,2024-07-11,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card,4.6,"""Comfortable"," good sound for gaming"""
P194,10194,2024-07-12,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal,4.5,"""Consistent grind"," adjustable settings"""
P195,10195,2024-07-13,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card,4.7,"""Responsive cushioning"," comfortable"""
P196,10196,2024-07-14,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card,4.3,"""Bleak but powerful post-apocalyptic story"""
P197,10197,2024-07-15,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal,4.5,"""Luxurious"," complex fragrance"""
P198,10198,2024-07-16,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card,4.6,"""High-quality video"," improved stabilization"""
P199,10199,2024-07-17,Electronics,Apple TV 4K,2,179,358,North America,Credit Card,4.5,"""Smooth streaming interface"," good apps"""
P200,10200,2024-07-18,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal,4.3,"""Simple pressure cooking"," reliable"""
P201,10201,2024-07-19,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card,4.2,"""Classic fit"," comfortable denim"""
P202,10202,2024-07-20,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card,4.5,"""Epic coming-of-age story"," detailed"""
P203,10203,2024-07-21,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,52,Europe,PayPal,4.4,"""Calms redness"," natural coverage"""
P204,10204,2024-07-22,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card,4.7,"""Easy to transport"," excellent ice retention"""
P205,10205,2024-07-23,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card,4.5,"""Good health tracking"," sleek design"""
P206,10206,2024-07-24,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal,4.8,"""Powerful mixing"," durable construction"""
P207,10207,2024-07-25,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,196,Asia,Debit Card,4.7,"""Comfortable"," flattering fit for yoga"""
P208,10208,2024-07-26,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card,4.6,"""Emotional family drama"," Alaska setting"""
P209,10209,2024-07-27,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal,4.4,"""Brightens skin"," evens tone"""
P210,10210,2024-07-28,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,129,Asia,Credit Card,4.3,"""Portable"," good sound for size"""
P211,10211,2024-07-29,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card,4.5,"""Good entry-level DSLR"," easy to use"""
P212,10212,2024-07-30,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal,4.4,"""Multiple brew sizes"," hot water option"""
P213,10213,2024-07-31,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card,4.1,"""Breathable"," comfortable for warm weather"""
P214,10214,2024-08-01,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card,4.5,"""Dark mystery"," compelling characters"""
P215,10215,2024-08-02,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal,4.6,"""Rich hydration"," pleasant scent"""
P216,10216,2024-08-03,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card,4.7,"""Large capacity"," excellent ice retention"""
P217,10217,2024-08-04,Electronics,Apple MacBook Pro 16-inch,1,2399,2399,North America,Credit Card,4.9,"""Powerful performance for professionals"""
P218,10218,2024-08-05,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal,4.5,"""Effective mopping"," smart navigation"""
P219,10219,2024-08-06,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card,4.3,"""Comfortable"," classic style"""
P220,10220,2024-08-07,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card,4.7,"""Emotional WWII story"," powerful"""
P221,10221,2024-08-08,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal,4.5,"""Full coverage"," doesn't crease"""
P222,10222,2024-08-09,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card,4.7,"""Advanced metrics for triathletes"""
P223,10223,2024-08-10,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card,4.4,"""Compact smart speaker"," affordable"""
P224,10224,2024-08-11,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal,4.6,"""Effective cleaning"," multiple modes"""
P225,10225,2024-08-12,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card,4.1,"""Comfortable stretch denim"""
P226,10226,2024-08-13,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card,4.4,"""Psychological thriller with twist"""
P227,10227,2024-08-14,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal,4.2,"""Reduces puffiness around eyes"""
P228,10228,2024-08-15,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card,4.3,"""Slim design"," basic fitness tracking"""
P229,10229,2024-08-16,Electronics,Google Nest Wifi Router,1,169,169,North America,Credit Card,4.4,"""Reliable mesh wifi"," easy setup"""
P230,10230,2024-08-17,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal,4.6,"""Precise temperature control"," versatile"""
P231,10231,2024-08-18,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card,4.4,"""Comfortable"," classic sportswear style"""
P232,10232,2024-08-19,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card,4.7,"""Sci-fi masterpiece"," complex world"""
P233,10233,2024-08-20,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal,4.5,"""Hydrating lip balm with subtle tint"""
P234,10234,2024-08-21,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card,4.5,"""Keeps temperature well"," durable"""
P235,10235,2024-08-22,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,299,North America,Credit Card,4.7,"""Excellent noise cancellation"," comfortable"""
P236,10236,2024-08-23,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal,4.4,"""Easy to use"," consistent coffee"""
P237,10237,2024-08-24,Clothing,Nike Air Force 1 Sneakers,3,90,270,Asia,Debit Card,4.6,"""Classic style"," comfortable"""
P238,10238,2024-08-25,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card,4.6,"""Dystopian classic"," thought-provoking"""
P239,10239,2024-08-26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal,4.4,"""Retinol alternative"," improves texture"""
P240,10240,2024-08-27,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card,4.5,"""Perfect size for drinks"," keeps temperature"""
P241,10240,2024-08-27,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card,4.5,"""Perfect size for drinks"," keeps temperature"""
